_id,year,county_id,county_name,racial_ethnic_group,median_income,income_gap_from_white,income_gap_from_white_percent
756,2015,42101,Philadelphia,"White alone, non-Latinx",74780,0,0.000
757,2016,42017,Bucks,All,97768,2617,0.026
758,2016,42017,Bucks,Asian alone,118104,-17719,-0.177
759,2016,42017,Bucks,Black or African American alone,61217,39168,0.390
760,2016,42017,Bucks,Latinx,57557,42828,0.427
761,2016,42017,Bucks,Other,58633,41752,0.416
762,2016,42017,Bucks,People of Color,75607,24778,0.247
763,2016,42017,Bucks,"White alone, non-Latinx",100385,0,0.000
764,2016,34005,Burlington,All,98156,3122,0.031
765,2016,34005,Burlington,Asian alone,128048,-26770,-0.264
766,2016,34005,Burlington,Black or African American alone,83176,18102,0.179
767,2016,34005,Burlington,Latinx,78317,22961,0.227
768,2016,34005,Burlington,Other,71275,30003,0.296
769,2016,34005,Burlington,People of Color,86746,14532,0.143
770,2016,34005,Burlington,"White alone, non-Latinx",101278,0,0.000
771,2016,34007,Camden,All,81166,14953,0.156
772,2016,34007,Camden,Asian alone,90298,5821,0.061
773,2016,34007,Camden,Black or African American alone,53748,42371,0.441
774,2016,34007,Camden,Latinx,49565,46554,0.484
775,2016,34007,Camden,Other,47026,49093,0.511
776,2016,34007,Camden,People of Color,55090,41029,0.427
777,2016,34007,Camden,"White alone, non-Latinx",96119,0,0.000
778,2016,42029,Chester,All,113020,4892,0.041
779,2016,42029,Chester,Asian alone,160241,-42329,-0.359
780,2016,42029,Chester,Black or African American alone,61667,56245,0.477
781,2016,42029,Chester,Latinx,60693,57219,0.485
782,2016,42029,Chester,Other,74593,43319,0.367
783,2016,42029,Chester,People of Color,88032,29880,0.253
784,2016,42029,Chester,"White alone, non-Latinx",117912,0,0.000
785,2016,42045,Delaware,All,83108,14448,0.148
786,2016,42045,Delaware,Asian alone,84737,12819,0.131
787,2016,42045,Delaware,Black or African American alone,50427,47129,0.483
788,2016,42045,Delaware,Latinx,63162,34394,0.353
789,2016,42045,Delaware,Other,48753,48803,0.500
790,2016,42045,Delaware,People of Color,56510,41046,0.421
791,2016,42045,Delaware,"White alone, non-Latinx",97556,0,0.000
792,2016,34015,Gloucester,All,97698,2606,0.026
793,2016,34015,Gloucester,Asian alone,111276,-10972,-0.109
794,2016,34015,Gloucester,Black or African American alone,71175,29129,0.290
795,2016,34015,Gloucester,Latinx,101614,-1310,-0.013
796,2016,34015,Gloucester,Other,82047,18257,0.182
797,2016,34015,Gloucester,People of Color,83936,16368,0.163
798,2016,34015,Gloucester,"White alone, non-Latinx",100304,0,0.000
799,2016,34021,Mercer,All,94972,16807,0.150
800,2016,34021,Mercer,Asian alone,179169,-67390,-0.603
801,2016,34021,Mercer,Black or African American alone,49443,62336,0.558
802,2016,34021,Mercer,Latinx,60850,50929,0.456
803,2016,34021,Mercer,Other,97204,14575,0.130
804,2016,34021,Mercer,People of Color,81504,30275,0.271
805,2016,34021,Mercer,"White alone, non-Latinx",111779,0,0.000
806,2016,42091,Montgomery,All,102876,4901,0.045
807,2016,42091,Montgomery,Asian alone,106535,1242,0.012
808,2016,42091,Montgomery,Black or African American alone,79558,28219,0.262
809,2016,42091,Montgomery,Latinx,69744,38033,0.353
810,2016,42091,Montgomery,Other,67373,40404,0.375
811,2016,42091,Montgomery,People of Color,84621,23156,0.215
812,2016,42091,Montgomery,"White alone, non-Latinx",107777,0,0.000
813,2016,42101,Philadelphia,All,50695,21231,0.295
814,2016,42101,Philadelphia,Asian alone,58785,13141,0.183
815,2016,42101,Philadelphia,Black or African American alone,38817,33109,0.460
816,2016,42101,Philadelphia,Latinx,36773,35153,0.489
817,2016,42101,Philadelphia,Other,39731,32195,0.448
818,2016,42101,Philadelphia,People of Color,40278,31648,0.440
819,2016,42101,Philadelphia,"White alone, non-Latinx",71926,0,0.000
820,2017,42017,Bucks,All,101497,3991,0.038
821,2017,42017,Bucks,Asian alone,137650,-32162,-0.305
822,2017,42017,Bucks,Black or African American alone,69842,35646,0.338
823,2017,42017,Bucks,Latinx,62624,42864,0.406
824,2017,42017,Bucks,Other,70260,35228,0.334
825,2017,42017,Bucks,People of Color,86462,19026,0.180
826,2017,42017,Bucks,"White alone, non-Latinx",105488,0,0.000
827,2017,34005,Burlington,All,104998,4895,0.045
828,2017,34005,Burlington,Asian alone,132506,-22613,-0.206
829,2017,34005,Burlington,Black or African American alone,91023,18870,0.172
830,2017,34005,Burlington,Latinx,89172,20721,0.189
831,2017,34005,Burlington,Other,89015,20878,0.190
832,2017,34005,Burlington,People of Color,96205,13688,0.125
833,2017,34005,Burlington,"White alone, non-Latinx",109893,0,0.000
834,2017,34007,Camden,All,79277,17408,0.180
835,2017,34007,Camden,Asian alone,111841,-15156,-0.157
836,2017,34007,Camden,Black or African American alone,56242,40443,0.418
837,2017,34007,Camden,Latinx,43792,52893,0.547
838,2017,34007,Camden,Other,51710,44975,0.465
839,2017,34007,Camden,People of Color,57769,38916,0.403
840,2017,34007,Camden,"White alone, non-Latinx",96685,0,0.000
841,2017,42029,Chester,All,115756,3766,0.032
842,2017,42029,Chester,Asian alone,163327,-43805,-0.367
843,2017,42029,Chester,Black or African American alone,81392,38130,0.319
844,2017,42029,Chester,Latinx,74700,44822,0.375
845,2017,42029,Chester,Other,73549,45973,0.385
846,2017,42029,Chester,People of Color,100569,18953,0.159
847,2017,42029,Chester,"White alone, non-Latinx",119522,0,0.000
848,2017,42045,Delaware,All,88449,13183,0.130
849,2017,42045,Delaware,Asian alone,94649,6983,0.069
850,2017,42045,Delaware,Black or African American alone,56465,45167,0.444
851,2017,42045,Delaware,Latinx,70133,31499,0.310
852,2017,42045,Delaware,Other,59846,41786,0.411
853,2017,42045,Delaware,People of Color,63789,37843,0.372
854,2017,42045,Delaware,"White alone, non-Latinx",101632,0,0.000
855,2017,34015,Gloucester,All,103589,5481,0.050
856,2017,34015,Gloucester,Asian alone,140739,-31669,-0.290
857,2017,34015,Gloucester,Black or African American alone,52527,56543,0.518
858,2017,34015,Gloucester,Latinx,67081,41989,0.385
859,2017,34015,Gloucester,Other,58617,50453,0.463
860,2017,34015,Gloucester,People of Color,67430,41640,0.382
861,2017,34015,Gloucester,"White alone, non-Latinx",109070,0,0.000
862,2017,34021,Mercer,All,94819,20917,0.181
863,2017,34021,Mercer,Asian alone,185604,-69868,-0.604
864,2017,34021,Mercer,Black or African American alone,49243,66493,0.575
865,2017,34021,Mercer,Latinx,59132,56604,0.489
866,2017,34021,Mercer,Other,64634,51102,0.442
867,2017,34021,Mercer,People of Color,81204,34532,0.298
868,2017,34021,Mercer,"White alone, non-Latinx",115736,0,0.000
869,2017,42091,Montgomery,All,104556,5485,0.050
870,2017,42091,Montgomery,Asian alone,119953,-9912,-0.090
871,2017,42091,Montgomery,Black or African American alone,71035,39006,0.354
872,2017,42091,Montgomery,Latinx,75827,34214,0.311
873,2017,42091,Montgomery,Other,85965,24076,0.219
874,2017,42091,Montgomery,People of Color,88614,21427,0.195
875,2017,42091,Montgomery,"White alone, non-Latinx",110041,0,0.000
876,2017,42101,Philadelphia,All,,,
877,2017,42101,Philadelphia,Asian alone,,,
878,2017,42101,Philadelphia,Black or African American alone,,,
879,2017,42101,Philadelphia,Latinx,,,
880,2017,42101,Philadelphia,Other,,,
881,2017,42101,Philadelphia,People of Color,,,
882,2017,42101,Philadelphia,"White alone, non-Latinx",,,
883,2018,42017,Bucks,All,103542,2959,0.028
884,2018,42017,Bucks,Asian alone,138841,-32340,-0.304
885,2018,42017,Bucks,Black or African American alone,72179,34322,0.322
886,2018,42017,Bucks,Latinx,63324,43177,0.405
887,2018,42017,Bucks,Other,61712,44789,0.421
888,2018,42017,Bucks,People of Color,85413,21088,0.198
889,2018,42017,Bucks,"White alone, non-Latinx",106501,0,0.000
890,2018,34005,Burlington,All,99240,4547,0.044
891,2018,34005,Burlington,Asian alone,149469,-45682,-0.440
892,2018,34005,Burlington,Black or African American alone,83526,20261,0.195
893,2018,34005,Burlington,Latinx,88070,15717,0.151
894,2018,34005,Burlington,Other,70349,33438,0.322
895,2018,34005,Burlington,People of Color,91671,12116,0.117
896,2018,34005,Burlington,"White alone, non-Latinx",103787,0,0.000
897,2018,34007,Camden,All,78938,16965,0.177
898,2018,34007,Camden,Asian alone,114068,-18165,-0.189
899,2018,34007,Camden,Black or African American alone,53214,42689,0.445
900,2018,34007,Camden,Latinx,41588,54315,0.566
901,2018,34007,Camden,Other,42069,53834,0.561
902,2018,34007,Camden,People of Color,54187,41716,0.435
903,2018,34007,Camden,"White alone, non-Latinx",95903,0,0.000
904,2018,42029,Chester,All,115876,3220,0.027
905,2018,42029,Chester,Asian alone,152276,-33180,-0.279
906,2018,42029,Chester,Black or African American alone,66164,52932,0.444
907,2018,42029,Chester,Latinx,76771,42325,0.355
908,2018,42029,Chester,Other,71652,47444,0.398
909,2018,42029,Chester,People of Color,93971,25125,0.211
910,2018,42029,Chester,"White alone, non-Latinx",119096,0,0.000
911,2018,42045,Delaware,All,84225,14105,0.143
912,2018,42045,Delaware,Asian alone,105505,-7175,-0.073
913,2018,42045,Delaware,Black or African American alone,54554,43776,0.445
914,2018,42045,Delaware,Latinx,71327,27003,0.275
915,2018,42045,Delaware,Other,52904,45426,0.462
916,2018,42045,Delaware,People of Color,63878,34452,0.350
917,2018,42045,Delaware,"White alone, non-Latinx",98330,0,0.000
918,2018,34015,Gloucester,All,95686,3775,0.038
919,2018,34015,Gloucester,Asian alone,146806,-47345,-0.476
920,2018,34015,Gloucester,Black or African American alone,51722,47739,0.480
921,2018,34015,Gloucester,Latinx,95129,4332,0.044
922,2018,34015,Gloucester,Other,60828,38633,0.388
923,2018,34015,Gloucester,People of Color,73594,25867,0.260
924,2018,34015,Gloucester,"White alone, non-Latinx",99461,0,0.000
925,2018,34021,Mercer,All,94264,22892,0.195
926,2018,34021,Mercer,Asian alone,171777,-54621,-0.466
927,2018,34021,Mercer,Black or African American alone,58468,58688,0.501
928,2018,34021,Mercer,Latinx,59566,57590,0.492
929,2018,34021,Mercer,Other,94358,22798,0.195
930,2018,34021,Mercer,People of Color,84524,32632,0.279
931,2018,34021,Mercer,"White alone, non-Latinx",117156,0,0.000
932,2018,42091,Montgomery,All,105358,3532,0.032
933,2018,42091,Montgomery,Asian alone,104311,4579,0.042
934,2018,42091,Montgomery,Black or African American alone,86900,21990,0.202
935,2018,42091,Montgomery,Latinx,84400,24490,0.225
936,2018,42091,Montgomery,Other,70840,38050,0.349
937,2018,42091,Montgomery,People of Color,89904,18986,0.174
938,2018,42091,Montgomery,"White alone, non-Latinx",108890,0,0.000
939,2018,42101,Philadelphia,All,53912,22015,0.290
940,2018,42101,Philadelphia,Asian alone,66024,9903,0.130
941,2018,42101,Philadelphia,Black or African American alone,39484,36443,0.480
942,2018,42101,Philadelphia,Latinx,37756,38171,0.503
943,2018,42101,Philadelphia,Other,39282,36645,0.483
944,2018,42101,Philadelphia,People of Color,41573,34354,0.452
945,2018,42101,Philadelphia,"White alone, non-Latinx",75927,0,0.000
946,2019,42017,Bucks,All,107665,1656,0.015
947,2019,42017,Bucks,Asian alone,141058,-31737,-0.290
948,2019,42017,Bucks,Black or African American alone,66219,43102,0.394
949,2019,42017,Bucks,Latinx,81913,27408,0.251
950,2019,42017,Bucks,Other,101350,7971,0.073
951,2019,42017,Bucks,People of Color,96451,12870,0.118
952,2019,42017,Bucks,"White alone, non-Latinx",109321,0,0.000
953,2019,34005,Burlington,All,101958,6592,0.061
954,2019,34005,Burlington,Asian alone,105122,3428,0.032
955,2019,34005,Burlington,Black or African American alone,84170,24380,0.225
956,2019,34005,Burlington,Latinx,86542,22008,0.203
957,2019,34005,Burlington,Other,85442,23108,0.213
958,2019,34005,Burlington,People of Color,87744,20806,0.192
959,2019,34005,Burlington,"White alone, non-Latinx",108550,0,0.000
960,2019,34007,Camden,All,84591,22530,0.210
961,2019,34007,Camden,Asian alone,94302,12819,0.120
962,2019,34007,Camden,Black or African American alone,56854,50267,0.469
963,2019,34007,Camden,Latinx,51322,55799,0.521
964,2019,34007,Camden,Other,44668,62453,0.583
965,2019,34007,Camden,People of Color,56884,50237,0.469
966,2019,34007,Camden,"White alone, non-Latinx",107121,0,0.000
967,2019,42029,Chester,All,117137,5576,0.045
968,2019,42029,Chester,Asian alone,150461,-27748,-0.226
969,2019,42029,Chester,Black or African American alone,58885,63828,0.520
970,2019,42029,Chester,Latinx,90385,32328,0.263
971,2019,42029,Chester,Other,72103,50610,0.412
972,2019,42029,Chester,People of Color,95199,27514,0.224
973,2019,42029,Chester,"White alone, non-Latinx",122713,0,0.000
974,2019,42045,Delaware,All,88802,11743,0.117
975,2019,42045,Delaware,Asian alone,104335,-3790,-0.038
976,2019,42045,Delaware,Black or African American alone,61244,39301,0.391
977,2019,42045,Delaware,Latinx,58242,42303,0.421
978,2019,42045,Delaware,Other,47825,52720,0.524
979,2019,42045,Delaware,People of Color,66792,33753,0.336
980,2019,42045,Delaware,"White alone, non-Latinx",100545,0,0.000
981,2019,34015,Gloucester,All,102705,1935,0.018
982,2019,34015,Gloucester,Asian alone,129801,-25161,-0.240
983,2019,34015,Gloucester,Black or African American alone,77063,27577,0.264
984,2019,34015,Gloucester,Latinx,82390,22250,0.213
985,2019,34015,Gloucester,People of Color,86025,18615,0.178
986,2019,34015,Gloucester,"White alone, non-Latinx",104640,0,0.000
987,2019,34021,Mercer,All,91274,17307,0.159
988,2019,34021,Mercer,Asian alone,178310,-69729,-0.642
989,2019,34021,Mercer,Black or African American alone,55516,53065,0.489
990,2019,34021,Mercer,Latinx,71356,37225,0.343
991,2019,34021,Mercer,Other,67981,40600,0.374
992,2019,34021,Mercer,People of Color,86198,22383,0.206
993,2019,34021,Mercer,"White alone, non-Latinx",108581,0,0.000
994,2019,42091,Montgomery,All,105983,4751,0.043
995,2019,42091,Montgomery,Asian alone,115251,-4517,-0.041
996,2019,42091,Montgomery,Black or African American alone,72573,38161,0.345
997,2019,42091,Montgomery,Latinx,91623,19111,0.173
998,2019,42091,Montgomery,Other,70130,40604,0.367
999,2019,42091,Montgomery,People of Color,89837,20897,0.189
1000,2019,42091,Montgomery,"White alone, non-Latinx",110734,0,0.000
1001,2019,42101,Philadelphia,All,54510,25904,0.322
1002,2019,42101,Philadelphia,Asian alone,56582,23832,0.296
1003,2019,42101,Philadelphia,Black or African American alone,42026,38388,0.477
1004,2019,42101,Philadelphia,Latinx,37231,43183,0.537
1005,2019,42101,Philadelphia,Other,37299,43115,0.536
1006,2019,42101,Philadelphia,People of Color,42000,38414,0.478
1007,2019,42101,Philadelphia,"White alone, non-Latinx",80414,0,0.000
1008,2021,42017,Bucks,All,108247,2731,0.025
1009,2021,42017,Bucks,Asian alone,139167,-28189,-0.254
1010,2021,42017,Bucks,Black or African American alone,60225,50753,0.457
1011,2021,42017,Bucks,Latinx,68574,42404,0.382
1012,2021,42017,Bucks,Other,85406,25572,0.230
1013,2021,42017,Bucks,People of Color,87728,23250,0.210
1014,2021,42017,Bucks,"White alone, non-Latinx",110978,0,0.000
1015,2021,34005,Burlington,All,102035,5100,0.048
1016,2021,34005,Burlington,Asian alone,122359,-15224,-0.142
1017,2021,34005,Burlington,Black or African American alone,87785,19350,0.181
1018,2021,34005,Burlington,Latinx,82067,25068,0.234
1019,2021,34005,Burlington,Other,94294,12841,0.120
1020,2021,34005,Burlington,People of Color,92414,14721,0.137
1021,2021,34005,Burlington,"White alone, non-Latinx",107135,0,0.000
1022,2021,34007,Camden,All,84686,12324,0.127
1023,2021,34007,Camden,Asian alone,128119,-31109,-0.321
1024,2021,34007,Camden,Black or African American alone,67105,29905,0.308
1025,2021,34007,Camden,Latinx,55991,41019,0.423
1026,2021,34007,Camden,Other,60477,36533,0.377
1027,2021,34007,Camden,People of Color,68403,28607,0.295
1028,2021,34007,Camden,"White alone, non-Latinx",97010,0,0.000
1029,2021,42029,Chester,All,118469,1913,0.016
1030,2021,42029,Chester,Asian alone,175067,-54685,-0.454
1031,2021,42029,Chester,Black or African American alone,64180,56202,0.467
1032,2021,42029,Chester,Latinx,79691,40691,0.338
1033,2021,42029,Chester,Other,99517,20865,0.173
1034,2021,42029,Chester,People of Color,105345,15037,0.125
1035,2021,42029,Chester,"White alone, non-Latinx",120382,0,0.000
1036,2021,42045,Delaware,All,84549,17514,0.172
1037,2021,42045,Delaware,Asian alone,83064,18999,0.186
1038,2021,42045,Delaware,Black or African American alone,51011,51052,0.500
1039,2021,42045,Delaware,Latinx,90454,11609,0.114
1040,2021,42045,Delaware,Other,78904,23159,0.227
1041,2021,42045,Delaware,People of Color,62822,39241,0.384
1042,2021,42045,Delaware,"White alone, non-Latinx",102063,0,0.000
1043,2021,34015,Gloucester,All,102051,6747,0.062
1044,2021,34015,Gloucester,Asian alone,113621,-4823,-0.044
1045,2021,34015,Gloucester,Black or African American alone,68324,40474,0.372
1046,2021,34015,Gloucester,Latinx,84713,24085,0.221
1047,2021,34015,Gloucester,Other,96033,12765,0.117
1048,2021,34015,Gloucester,People of Color,82073,26725,0.246
1049,2021,34015,Gloucester,"White alone, non-Latinx",108798,0,0.000
1050,2021,34021,Mercer,All,94755,15588,0.141
1051,2021,34021,Mercer,Asian alone,178372,-68029,-0.617
1052,2021,34021,Mercer,Black or African American alone,60598,49745,0.451
1053,2021,34021,Mercer,Latinx,67988,42355,0.384
1054,2021,34021,Mercer,Other,74048,36295,0.329
1055,2021,34021,Mercer,People of Color,88453,21890,0.198
1056,2021,34021,Mercer,"White alone, non-Latinx",110343,0,0.000
1057,2021,42091,Montgomery,All,111222,5545,0.047
1058,2021,42091,Montgomery,Asian alone,127118,-10351,-0.089
1059,2021,42091,Montgomery,Black or African American alone,65579,51188,0.438
1060,2021,42091,Montgomery,Latinx,84663,32104,0.275
1061,2021,42091,Montgomery,Other,87612,29155,0.250
1062,2021,42091,Montgomery,People of Color,90346,26421,0.226
1063,2021,42091,Montgomery,"White alone, non-Latinx",116767,0,0.000
1064,2021,42101,Philadelphia,All,57179,28089,0.329
1065,2021,42101,Philadelphia,Asian alone,60220,25048,0.294
1066,2021,42101,Philadelphia,Black or African American alone,41387,43881,0.515
1067,2021,42101,Philadelphia,Latinx,48419,36849,0.432
1068,2021,42101,Philadelphia,Other,47104,38164,0.448
1069,2021,42101,Philadelphia,People of Color,45244,40024,0.469
1070,2021,42101,Philadelphia,"White alone, non-Latinx",85268,0,0.000
1071,2022,42017,Bucks,All,105398,330,0.003
1072,2022,42017,Bucks,Asian alone,149816,-44088,-0.417
1073,2022,42017,Bucks,Black or African American alone,73776,31952,0.302
1074,2022,42017,Bucks,Latinx,79815,25913,0.245
1075,2022,42017,Bucks,Other,103445,2283,0.022
1076,2022,42017,Bucks,People of Color,101576,4152,0.039
1077,2022,42017,Bucks,"White alone, non-Latinx",105728,0,0.000
1078,2022,34005,Burlington,All,100478,238,0.002
1079,2022,34005,Burlington,Asian alone,141694,-40978,-0.407
1080,2022,34005,Burlington,Black or African American alone,94995,5721,0.057
1081,2022,34005,Burlington,Latinx,102361,-1645,-0.016
1082,2022,34005,Burlington,Other,95050,5666,0.056
1083,2022,34005,Burlington,People of Color,102619,-1903,-0.019
1084,2022,34005,Burlington,"White alone, non-Latinx",100716,0,0.000
1085,2022,34007,Camden,All,81768,14974,0.155
1086,2022,34007,Camden,Asian alone,107124,-10382,-0.107
1087,2022,34007,Camden,Black or African American alone,54284,42458,0.439
1088,2022,34007,Camden,Latinx,55406,41336,0.427
1089,2022,34007,Camden,Other,58591,38151,0.394
1090,2022,34007,Camden,People of Color,60856,35886,0.371
1091,2022,34007,Camden,"White alone, non-Latinx",96742,0,0.000
1092,2022,42029,Chester,All,117232,4568,0.038
1093,2022,42029,Chester,Asian alone,180768,-58968,-0.484
1094,2022,42029,Chester,Black or African American alone,61911,59889,0.492
1095,2022,42029,Chester,Latinx,87073,34727,0.285
1096,2022,42029,Chester,Other,91982,29818,0.245
1097,2022,42029,Chester,People of Color,107139,14661,0.120
1098,2022,42029,Chester,"White alone, non-Latinx",121800,0,0.000
1099,2022,42045,Delaware,All,83960,13639,0.140
1100,2022,42045,Delaware,Asian alone,108327,-10728,-0.110
1101,2022,42045,Delaware,Black or African American alone,52773,44826,0.459
1102,2022,42045,Delaware,Latinx,60011,37588,0.385
1103,2022,42045,Delaware,Other,59876,37723,0.387
1104,2022,42045,Delaware,People of Color,62826,34773,0.356
1105,2022,42045,Delaware,"White alone, non-Latinx",97599,0,0.000
1106,2022,34015,Gloucester,All,98301,1839,0.018
1107,2022,34015,Gloucester,Asian alone,122717,-22577,-0.225
1108,2022,34015,Gloucester,Black or African American alone,80201,19939,0.199
1109,2022,34015,Gloucester,Latinx,81591,18549,0.185
1110,2022,34015,Gloucester,Other,91579,8561,0.085
1111,2022,34015,Gloucester,People of Color,87651,12489,0.125
1112,2022,34015,Gloucester,"White alone, non-Latinx",100140,0,0.000
1113,2022,34021,Mercer,All,95668,13916,0.127
1114,2022,34021,Mercer,Asian alone,172459,-62875,-0.574
1115,2022,34021,Mercer,Black or African American alone,45429,64155,0.585
1116,2022,34021,Mercer,Latinx,81037,28547,0.261
1117,2022,34021,Mercer,Other,82989,26595,0.243
1118,2022,34021,Mercer,People of Color,86228,23356,0.213
1119,2022,34021,Mercer,"White alone, non-Latinx",109584,0,0.000
1120,2022,42091,Montgomery,All,106811,3363,0.031
1121,2022,42091,Montgomery,Asian alone,122990,-12816,-0.116
1122,2022,42091,Montgomery,Black or African American alone,71263,38911,0.353
1123,2022,42091,Montgomery,Latinx,81350,28824,0.262
1124,2022,42091,Montgomery,Other,91212,18962,0.172
1125,2022,42091,Montgomery,People of Color,91500,18674,0.169
1126,2022,42091,Montgomery,"White alone, non-Latinx",110174,0,0.000
1127,2022,42101,Philadelphia,All,56517,25451,0.310
1128,2022,42101,Philadelphia,Asian alone,61985,19983,0.244
1129,2022,42101,Philadelphia,Black or African American alone,42747,39221,0.478
1130,2022,42101,Philadelphia,Latinx,42654,39314,0.480
1131,2022,42101,Philadelphia,Other,45669,36299,0.443
1132,2022,42101,Philadelphia,People of Color,45044,36924,0.450
1133,2022,42101,Philadelphia,"White alone, non-Latinx",81968,0,0.000
